# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Quranic Arabic Corpus (morphology, version 0.4)
#  Copyright (C) 2011 Kais Dukes
#  License: GNU General Public License
#
#  The Quranic Arabic Corpus includes syntactic and morphological
#  annotation of the Quran, and builds on the verified Arabic text
#  distributed by the Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this file, but CHANGING IT IS NOT ALLOWED.
#
#  - This annotation can be used in any website or application,
#    provided its source (the Quranic Arabic Corpus) is clearly
#    indicated, and a link is made to http://corpus.quran.com to enable
#    users to keep track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all works
#    derived from or containing substantial portion of this file.
#
#  Please check updates at: http://corpus.quran.com/download

# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Tanzil Quran Text (Uthmani, version 1.0.2)
#  Copyright (C) 2008-2009 Tanzil.info
#  License: Creative Commons BY-ND 3.0 Unported
#
#  This copy of quran text is carefully produced, highly
#  verified and continuously monitored by a group of specialists
#  at Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this text, but CHANGING IT IS NOT ALLOWED.
#
#  - This quran text can be used in any website or application,
#    provided its source (Tanzil.info) is clearly indicated, and
#    a link is made to http://tanzil.info to enable users to keep
#    track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all files
#    derived from or containing substantial portion of this text.
#
#  Please check updates at: http://tanzil.info/updates/
#
#====================================================================

LOCATION	FORM	TAG	FEATURES
(36:7:5:2)	himo	PRON	SUFFIX|PRON:3MP
(36:7:6:1)	fa	REM	PREFIX|f:REM+
(36:7:6:2)	humo	PRON	STEM|POS:PRON|3MP
(36:7:7:1)	laA	NEG	STEM|POS:NEG|LEM:laA
(36:7:8:1)	yu&ominu	V	STEM|POS:V|IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(36:7:8:2)	wna	PRON	SUFFIX|PRON:3MP
(36:8:1:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(36:8:1:2)	A	PRON	SUFFIX|PRON:1P
(36:8:2:1)	jaEalo	V	STEM|POS:V|PERF|LEM:jaEala|ROOT:jEl|1P
(36:8:2:2)	naA	PRON	SUFFIX|PRON:1P
(36:8:3:1)	fiY^	P	STEM|POS:P|LEM:fiY
(36:8:4:1)	>aEona`qi	N	STEM|POS:N|LEM:Eunuq|ROOT:Enq|MP|GEN
(36:8:4:2)	himo	PRON	SUFFIX|PRON:3MP
(36:8:5:1)	>agola`lFA	N	STEM|POS:N|LEM:gil~|ROOT:gll|MP|INDEF|ACC
(36:8:6:1)	fa	CONJ	PREFIX|f:CONJ+
(36:8:6:2)	hiYa	PRON	STEM|POS:PRON|3FS
(36:8:7:1)	<ilaY	P	STEM|POS:P|LEM:<ilaY`
(36:8:8:1)	{lo	DET	PREFIX|Al+
(36:8:8:2)	>a*oqaAni	N	STEM|POS:N|LEM:>a*oqaAn|ROOT:*qn|MP|GEN
(36:8:9:1)	fa	REM	PREFIX|f:REM+
(36:8:9:2)	hum	PRON	STEM|POS:PRON|3MP
(36:8:10:1)	m~uqomaHuwna	N	STEM|POS:N|PASS|PCPL|(IV)|LEM:m~uqomaHuwn|ROOT:qmH|MP|NOM
(36:9:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:9:1:2)	jaEalo	V	STEM|POS:V|PERF|LEM:jaEala|ROOT:jEl|1P
(36:9:1:3)	naA	PRON	SUFFIX|PRON:1P
(36:9:2:1)	min[	P	STEM|POS:P|LEM:min
(36:9:3:1)	bayoni	N	STEM|POS:N|LEM:bayon|ROOT:byn|GEN
(36:9:4:1)	>ayodiy	N	STEM|POS:N|LEM:yad|ROOT:ydy|FP|NOM
(36:9:4:2)	himo	PRON	SUFFIX|PRON:3MP
(36:9:5:1)	sad~FA	N	STEM|POS:N|LEM:sad~|ROOT:sdd|M|INDEF|ACC
(36:9:6:1)	wa	CONJ	PREFIX|w:CONJ+
(36:9:6:2)	mino	P	STEM|POS:P|LEM:min
(36:9:7:1)	xalofi	N	STEM|POS:N|LEM:xalof|ROOT:xlf|M|GEN
(36:9:7:2)	himo	PRON	SUFFIX|PRON:3MP
(36:9:8:1)	sad~FA	N	STEM|POS:N|LEM:sad~|ROOT:sdd|M|INDEF|ACC
(36:9:9:1)	fa	CONJ	PREFIX|f:CONJ+
(36:9:9:2)	>ago$ayo	V	STEM|POS:V|PERF|(IV)|LEM:>ugo$iyato|ROOT:g$w|1P
(36:9:9:3)	na`	PRON	SUFFIX|PRON:1P
(36:9:9:4)	humo	PRON	SUFFIX|PRON:3MP
(36:9:10:1)	fa	REM	PREFIX|f:REM+
(36:9:10:2)	humo	PRON	STEM|POS:PRON|3MP
(36:9:11:1)	laA	NEG	STEM|POS:NEG|LEM:laA
(36:9:12:1)	yuboSiru	V	STEM|POS:V|IMPF|(IV)|LEM:>aboSara|ROOT:bSr|3MP
(36:9:12:2)	wna	PRON	SUFFIX|PRON:3MP
(36:10:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:10:1:2)	sawaA^'N	N	STEM|POS:N|LEM:sawaA^'|ROOT:swy|M|INDEF|NOM
(36:10:2:1)	Ealayo	P	STEM|POS:P|LEM:EalaY`
(36:10:2:2)	himo	PRON	SUFFIX|PRON:3MP
(36:10:3:1)	'a	EQ	PREFIX|A:EQ+
(36:10:3:2)	>an*aro	V	STEM|POS:V|PERF|(IV)|LEM:>an*ara|ROOT:n*r|2MS
(36:10:3:3)	ta	PRON	SUFFIX|PRON:2MS
(36:10:3:4)	humo	PRON	SUFFIX|PRON:3MP
(36:10:4:1)	>amo	CONJ	STEM|POS:CONJ|LEM:>am
(36:10:5:1)	lamo	NEG	STEM|POS:NEG|LEM:lam
(36:10:6:1)	tun*iro	V	STEM|POS:V|IMPF|(IV)|LEM:>an*ara|ROOT:n*r|3FS|MOOD:JUS
(36:10:6:2)	humo	PRON	SUFFIX|PRON:3MP
(36:10:7:1)	laA	NEG	STEM|POS:NEG|LEM:laA
(36:10:8:1)	yu&ominu	V	STEM|POS:V|IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(36:10:8:2)	wna	PRON	SUFFIX|PRON:3MP
(36:11:1:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(36:11:1:2)	maA	PREV	STEM|POS:PREV|LEM:maA
(36:11:2:1)	tun*iru	V	STEM|POS:V|IMPF|(IV)|LEM:>an*ara|ROOT:n*r|2MS
(36:11:3:1)	mani	REL	STEM|POS:REL|LEM:man
(36:11:4:1)	{t~abaEa	V	STEM|POS:V|PERF|(VIII)|LEM:{t~abaEa|ROOT:tbE|3MS
(36:11:5:1)	{l	DET	PREFIX|Al+
(36:11:5:2)	*~ikora	N	STEM|POS:N|VN|LEM:*ikor|ROOT:*kr|M|ACC
(36:11:6:1)	wa	CONJ	PREFIX|w:CONJ+
(36:11:6:2)	xa$iYa	V	STEM|POS:V|PERF|LEM:xa$iYa|ROOT:x$y|3MS
(36:11:7:1)	{l	DET	PREFIX|Al+
(36:11:7:2)	r~aHoma`na	N	STEM|POS:N|LEM:r~aHoma`n|ROOT:rHm|MS|ACC
(36:11:8:1)	bi	P	PREFIX|bi+
(36:11:8:2)	{lo	DET	PREFIX|Al+
(36:11:8:3)	gayobi	N	STEM|POS:N|LEM:gayob|ROOT:gyb|M|GEN
(36:11:9:1)	fa	REM	PREFIX|f:REM+
(36:11:9:2)	ba$~iro	V	STEM|POS:V|IMPV|(II)|LEM:bu$~ira|ROOT:b$r|2MS
(36:11:9:3)	hu	PRON	SUFFIX|PRON:3MS
(36:11:10:1)	bi	P	PREFIX|bi+
(36:11:10:2)	magofirapK	N	STEM|POS:N|LEM:m~agofirap|ROOT:gfr|F|INDEF|GEN
(36:11:11:1)	wa	CONJ	PREFIX|w:CONJ+
(36:11:11:2)	>ajorK	N	STEM|POS:N|LEM:>ajor|ROOT:Ajr|M|INDEF|GEN
(36:11:12:1)	kariymK	ADJ	STEM|POS:ADJ|LEM:kariym|ROOT:krm|MS|INDEF|GEN
(36:12:1:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(36:12:1:2)	A	PRON	SUFFIX|PRON:1P
(36:12:2:1)	naHonu	PRON	STEM|POS:PRON|1P
(36:12:3:1)	nuHoYi	V	STEM|POS:V|IMPF|(IV)|LEM:>aHoyaA|ROOT:Hyy|1P
(36:12:4:1)	{lo	DET	PREFIX|Al+
(36:12:4:2)	mawotaY`	N	STEM|POS:N|LEM:m~ay~it|ROOT:mwt|P|NOM
(36:12:5:1)	wa	CONJ	PREFIX|w:CONJ+
(36:12:5:2)	nakotubu	V	STEM|POS:V|IMPF|LEM:kataba|ROOT:ktb|1P
(36:12:6:1)	maA	REL	STEM|POS:REL|LEM:maA
(36:12:7:1)	qad~amu	V	STEM|POS:V|PERF|(II)|LEM:qad~ama|ROOT:qdm|3MP
(36:12:7:2)	wA@	PRON	SUFFIX|PRON:3MP
(36:12:8:1)	wa	CONJ	PREFIX|w:CONJ+
(36:12:8:2)	'aAva`ra	N	STEM|POS:N|LEM:>avar|ROOT:Avr|MP|ACC
(36:12:8:3)	humo	PRON	SUFFIX|PRON:3MP
(36:12:9:1)	wa	CONJ	PREFIX|w:CONJ+
(36:12:9:2)	kul~a	N	STEM|POS:N|LEM:kul~|ROOT:kll|M|ACC
(36:12:10:1)	$aYo'K	N	STEM|POS:N|LEM:$aYo'|ROOT:$yA|M|INDEF|GEN
(36:12:11:1)	>aHoSayo	V	STEM|POS:V|PERF|(IV)|LEM:>aHoSaY`|ROOT:HSy|1P
(36:12:11:2)	na`	PRON	SUFFIX|PRON:1P
(36:12:11:3)	hu	PRON	SUFFIX|PRON:3MS
(36:12:12:1)	fiY^	P	STEM|POS:P|LEM:fiY
(36:12:13:1)	<imaAmK	N	STEM|POS:N|LEM:<imaAm|ROOT:Amm|MS|INDEF|GEN
(36:12:14:1)	m~ubiynK	N	STEM|POS:N|ACT|PCPL|(IV)|LEM:m~ubiyn|ROOT:byn|M|INDEF|GEN
(36:13:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:13:1:2)	{Doribo	V	STEM|POS:V|IMPV|LEM:Daraba|ROOT:Drb|2MS
(36:13:2:1)	la	P	PREFIX|l:P+
(36:13:2:2)	hum	PRON	STEM|POS:PRON|3MP
(36:13:3:1)	m~avalFA	N	STEM|POS:N|LEM:maval|ROOT:mvl|M|INDEF|ACC
(36:13:4:1)	>aSoHa`ba	N	STEM|POS:N|LEM:>aSoHa`b|ROOT:SHb|MP|ACC
(36:13:5:1)	{lo	DET	PREFIX|Al+
(36:13:5:2)	qaroyapi	N	STEM|POS:N|LEM:qaroyap|ROOT:qry|F|GEN
(36:13:6:1)	<i*o	T	STEM|POS:T|LEM:<i*
(36:13:7:1)	jaA^'a	V	STEM|POS:V|PERF|LEM:jaA^'a|ROOT:jyA|3MS
(36:13:7:2)	haA	PRON	SUFFIX|PRON:3FS
(36:13:8:1)	{lo	DET	PREFIX|Al+
(36:13:8:2)	murosaluwna	N	STEM|POS:N|PASS|PCPL|(IV)|LEM:m~urosal|ROOT:rsl|MP|NOM
(36:14:1:1)	<i*o	T	STEM|POS:T|LEM:<i*
(36:14:2:1)	>arosalo	V	STEM|POS:V|PERF|(IV)|LEM:>arosala|ROOT:rsl|1P
(36:14:2:2)	naA^	PRON	SUFFIX|PRON:1P
(36:14:3:1)	<ilayo	P	STEM|POS:P|LEM:<ilaY`
(36:14:3:2)	himu	PRON	SUFFIX|PRON:3MP
(36:14:4:1)	{vonayoni	N	STEM|POS:N|LEM:{vonayon|ROOT:vny|MD|NOM
(36:14:5:1)	fa	REM	PREFIX|f:REM+
(36:14:5:2)	ka*~abu	V	STEM|POS:V|PERF|(II)|LEM:ka*~aba|ROOT:k*b|3MP
(36:14:5:3)	w	PRON	SUFFIX|PRON:3MP
(36:14:5:4)	humaA	PRON	SUFFIX|PRON:3D
(36:14:6:1)	fa	REM	PREFIX|f:REM+
(36:14:6:2)	Eaz~azo	V	STEM|POS:V|PERF|(II)|LEM:Eaz~azo|ROOT:Ezz|1P
(36:14:6:3)	naA	PRON	SUFFIX|PRON:1P
(36:14:7:1)	bi	P	PREFIX|bi+
(36:14:7:2)	vaAlivK	N	STEM|POS:N|LEM:vaAliv|ROOT:vlv|M|INDEF|GEN
(36:14:8:1)	fa	CONJ	PREFIX|f:CONJ+
(36:14:8:2)	qaAlu	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP
(36:14:8:3)	w^A@	PRON	SUFFIX|PRON:3MP
(36:14:9:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(36:14:9:2)	A^	PRON	SUFFIX|PRON:1P
(36:14:10:1)	<ilayo	P	STEM|POS:P|LEM:<ilaY`
(36:14:10:2)	kum	PRON	SUFFIX|PRON:2MP
(36:14:11:1)	m~urosaluwna	N	STEM|POS:N|PASS|PCPL|(IV)|LEM:m~urosal|ROOT:rsl|MP|NOM
(36:15:1:1)	qaAlu	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP
(36:15:1:2)	wA@	PRON	SUFFIX|PRON:3MP
(36:15:2:1)	maA^	NEG	STEM|POS:NEG|LEM:maA
(36:15:3:1)	>antumo	PRON	STEM|POS:PRON|2MP
(36:15:4:1)	<il~aA	RES	STEM|POS:RES|LEM:<il~aA
(36:15:5:1)	ba$arN	N	STEM|POS:N|LEM:ba$ar|ROOT:b$r|M|INDEF|NOM
(36:15:6:1)	m~ivolu	N	STEM|POS:N|LEM:mivol|ROOT:mvl|M|NOM
(36:15:6:2)	naA	PRON	SUFFIX|PRON:1P
(36:15:7:1)	wa	CONJ	PREFIX|w:CONJ+
(36:15:7:2)	maA^	NEG	STEM|POS:NEG|LEM:maA
(36:15:8:1)	>anzala	V	STEM|POS:V|PERF|(IV)|LEM:>anzala|ROOT:nzl|3MS
(36:15:9:1)	{l	DET	PREFIX|Al+
(36:15:9:2)	r~aHoma`nu	N	STEM|POS:N|LEM:r~aHoma`n|ROOT:rHm|MS|NOM
(36:15:10:1)	min	P	STEM|POS:P|LEM:min
(36:15:11:1)	$aYo'K	N	STEM|POS:N|LEM:$aYo'|ROOT:$yA|M|INDEF|GEN
(36:15:12:1)	<ino	NEG	STEM|POS:NEG|LEM:<in
(36:15:13:1)	>antumo	PRON	STEM|POS:PRON|2MP
(36:15:14:1)	<il~aA	RES	STEM|POS:RES|LEM:<il~aA
(36:15:15:1)	tako*ibu	V	STEM|POS:V|IMPF|LEM:ka*aba|ROOT:k*b|2MP
(36:15:15:2)	wna	PRON	SUFFIX|PRON:2MP
(36:16:1:1)	qaAlu	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP
(36:16:1:2)	wA@	PRON	SUFFIX|PRON:3MP
(36:16:2:1)	rab~u	N	STEM|POS:N|LEM:rab~|ROOT:rbb|M|NOM
(36:16:2:2)	naA	PRON	SUFFIX|PRON:1P
(36:16:3:1)	yaEolamu	V	STEM|POS:V|IMPF|LEM:Ealima|ROOT:Elm|3MS
(36:16:4:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(36:16:4:2)	A^	PRON	SUFFIX|PRON:1P
(36:16:5:1)	<ilayo	P	STEM|POS:P|LEM:<ilaY`
(36:16:5:2)	kumo	PRON	SUFFIX|PRON:2MP
(36:16:6:1)	la	EMPH	PREFIX|l:EMPH+
(36:16:6:2)	murosaluwna	N	STEM|POS:N|PASS|PCPL|(IV)|LEM:m~urosal|ROOT:rsl|MP|NOM
(36:17:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:17:1:2)	maA	NEG	STEM|POS:NEG|LEM:maA
(36:17:2:1)	Ealayo	P	STEM|POS:P|LEM:EalaY`
(36:17:2:2)	naA^	PRON	SUFFIX|PRON:1P
(36:17:3:1)	<il~aA	RES	STEM|POS:RES|LEM:<il~aA
(36:17:4:1)	{lo	DET	PREFIX|Al+
(36:17:4:2)	bala`gu	N	STEM|POS:N|LEM:bala`g|ROOT:blg|M|NOM
(36:17:5:1)	{lo	DET	PREFIX|Al+
(36:17:5:2)	mubiynu	N	STEM|POS:N|ACT|PCPL|(IV)|LEM:m~ubiyn|ROOT:byn|M|NOM
(36:18:1:1)	qaAlu	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP
(36:18:1:2)	w^A@	PRON	SUFFIX|PRON:3MP
(36:18:2:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(36:18:2:2)	A	PRON	SUFFIX|PRON:1P
(36:18:3:1)	taTay~aro	V	STEM|POS:V|PERF|(V)|LEM:{T~ay~aro|ROOT:Tyr|1P
(36:18:3:2)	naA	PRON	SUFFIX|PRON:1P
(36:18:4:1)	bi	P	PREFIX|bi+
(36:18:4:2)	kumo	PRON	STEM|POS:PRON|2MP
(36:18:5:1)	la	EMPH	PREFIX|l:EMPH+
(36:18:5:2)	}in	COND	STEM|POS:COND|LEM:<in
(36:18:6:1)	l~amo	NEG	STEM|POS:NEG|LEM:lam
(36:18:7:1)	tantahu	V	STEM|POS:V|IMPF|(VIII)|LEM:{ntahaY`|ROOT:nhy|2MP|MOOD:JUS
(36:18:7:2)	wA@	PRON	SUFFIX|PRON:2MP
(36:18:8:1)	la	EMPH	PREFIX|l:EMPH+
(36:18:8:2)	narojuma	V	STEM|POS:V|IMPF|LEM:rajamo|ROOT:rjm|1P
(36:18:8:3)	n~a	EMPH	SUFFIX|+n:EMPH
(36:18:8:4)	kumo	PRON	SUFFIX|PRON:2MP
(36:18:9:1)	wa	CONJ	PREFIX|w:CONJ+
(36:18:9:2)	la	EMPH	PREFIX|l:EMPH+
(36:18:9:3)	yamas~a	V	STEM|POS:V|IMPF|LEM:mas~a|ROOT:mss|3MS
(36:18:9:4)	n~a	EMPH	SUFFIX|+n:EMPH
(36:18:9:5)	kum	PRON	SUFFIX|PRON:2MP
(36:18:10:1)	m~in~a	P	STEM|POS:P|LEM:min
(36:18:10:2)	A	PRON	SUFFIX|PRON:1P
(36:18:11:1)	Ea*aAbN	N	STEM|POS:N|LEM:Ea*aAb|ROOT:E*b|M|INDEF|NOM
(36:18:12:1)	>aliymN	ADJ	STEM|POS:ADJ|LEM:>aliym|ROOT:Alm|MS|INDEF|NOM
(36:19:1:1)	qaAlu	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MP
(36:19:1:2)	wA@	PRON	SUFFIX|PRON:3MP
(36:19:2:1)	Ta`^}iru	N	STEM|POS:N|ACT|PCPL|LEM:Ta`^}ir|ROOT:Tyr|M|NOM
(36:19:2:2)	kum	PRON	SUFFIX|PRON:2MP
(36:19:3:1)	m~aEa	LOC	STEM|POS:LOC|LEM:maE|ACC
(36:19:3:2)	kumo	PRON	SUFFIX|PRON:2MP
(36:19:4:1)	>a	INTG	PREFIX|A:INTG+
(36:19:4:2)	}in	COND	STEM|POS:COND|LEM:<in
(36:19:5:1)	*uk~iro	V	STEM|POS:V|PERF|PASS|(II)|LEM:*uk~ira|ROOT:*kr|2MP
(36:19:5:2)	tum	PRON	SUFFIX|PRON:2MP
(36:19:6:1)	balo	RET	STEM|POS:RET|LEM:bal
(36:19:7:1)	>antumo	PRON	STEM|POS:PRON|2MP
(36:19:8:1)	qawomN	N	STEM|POS:N|LEM:qawom|ROOT:qwm|M|INDEF|NOM
(36:19:9:1)	m~usorifuwna	ADJ	STEM|POS:ADJ|ACT|PCPL|(IV)|LEM:musorif|ROOT:srf|MP|NOM
(36:20:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:20:1:2)	jaA^'a	V	STEM|POS:V|PERF|LEM:jaA^'a|ROOT:jyA|3MS
(36:20:2:1)	mino	P	STEM|POS:P|LEM:min
(36:20:3:1)	>aqoSaA	N	STEM|POS:N|LEM:>aqoSaA|ROOT:qSw|MS|GEN
(36:20:4:1)	{lo	DET	PREFIX|Al+
(36:20:4:2)	madiynapi	N	STEM|POS:N|LEM:madiynap|ROOT:mdn|F|GEN
(36:20:5:1)	rajulN	N	STEM|POS:N|LEM:rajul|ROOT:rjl|M|INDEF|NOM
(36:20:6:1)	yasoEaY`	V	STEM|POS:V|IMPF|LEM:saEaY`|ROOT:sEy|3MS|MOOD:SUBJ
(36:20:7:1)	qaAla	V	STEM|POS:V|PERF|LEM:qaAla|ROOT:qwl|3MS
(36:20:8:1)	ya`	VOC	PREFIX|ya+
(36:20:8:2)	qawomi	N	STEM|POS:N|LEM:qawom|ROOT:qwm|M|ACC
(36:20:8:3)		PRON	SUFFIX|PRON:1S
(36:20:9:1)	{t~abiEu	V	STEM|POS:V|IMPV|(VIII)|LEM:{t~abaEa|ROOT:tbE|2MP
(36:20:9:2)	wA@	PRON	SUFFIX|PRON:2MP
(36:20:10:1)	{lo	DET	PREFIX|Al+
(36:20:10:2)	murosaliyna	N	STEM|POS:N|PASS|PCPL|(IV)|LEM:m~urosal|ROOT:rsl|MP|ACC
(36:21:1:1)	{t~abiEu	V	STEM|POS:V|IMPV|(VIII)|LEM:{t~abaEa|ROOT:tbE|2MP
(36:21:1:2)	wA@	PRON	SUFFIX|PRON:2MP
(36:21:2:1)	man	REL	STEM|POS:REL|LEM:man
(36:21:3:1)	l~aA	NEG	STEM|POS:NEG|LEM:laA
(36:21:4:1)	yaso_#alu	V	STEM|POS:V|IMPF|LEM:sa>ala|ROOT:sAl|3MS
(36:21:4:2)	kumo	PRON	SUFFIX|PRON:2MP
(36:21:5:1)	>ajorFA	N	STEM|POS:N|LEM:>ajor|ROOT:Ajr|M|INDEF|ACC
(36:21:6:1)	wa	CONJ	PREFIX|w:CONJ+
(36:21:6:2)	hum	PRON	STEM|POS:PRON|3MP
(36:21:7:1)	m~uhotaduwna	N	STEM|POS:N|ACT|PCPL|(VIII)|LEM:m~uhotaduwn|ROOT:hdy|MP|NOM
(36:22:1:1)	wa	CONJ	PREFIX|w:CONJ+
(36:22:1:2)	maA	INTG	STEM|POS:INTG|LEM:maA
(36:22:2:1)	li	P	PREFIX|l:P+
(36:22:2:2)	Ya	PRON	STEM|POS:PRON|1S
(36:22:3:1)	laA^	NEG	STEM|POS:NEG|LEM:laA
(36:22:4:1)	>aEobudu	V	STEM|POS:V|IMPF|LEM:Eabada|ROOT:Ebd|1S
(36:22:5:1)	{l~a*iY	REL	STEM|POS:REL|LEM:{l~a*iY|MS
(36:22:6:1)	faTara	V	STEM|POS:V|PERF|LEM:faTara|ROOT:fTr|3MS
(36:22:6:2)	niY	PRON	SUFFIX|PRON:1S
(36:22:7:1)	wa	CONJ	PREFIX|w:CONJ+
